source_url,target_url,status,preserve_query_string,subpath_matching,include_subdomains
https://www.mobileamericannotary.com/services/notary-hospital/mission-hills-providence-holy-cross.html,https://www.mobileamericannotary.com/services/notary/hospital/mission-hills-providence-holy-cross.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/northridge-dignity-northridge.html,https://www.mobileamericannotary.com/services/notary/hospital/northridge-dignity-northridge.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/simi-valley-adventist.html,https://www.mobileamericannotary.com/services/notary/hospital/simi-valley-adventist.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/sylmar-olive-view-ucla.html,https://www.mobileamericannotary.com/services/notary/hospital/sylmar-olive-view-ucla.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/tarzana-providence-cedars-sinai.html,https://www.mobileamericannotary.com/services/notary/hospital/tarzana-providence-cedars-sinai.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/thousand-oaks-los-robles.html,https://www.mobileamericannotary.com/services/notary/hospital/thousand-oaks-los-robles.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/valencia-henry-mayo.html,https://www.mobileamericannotary.com/services/notary/hospital/valencia-henry-mayo.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/van-nuys-valley-presbyterian.html,https://www.mobileamericannotary.com/services/notary/hospital/van-nuys-valley-presbyterian.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/west-hills-ucla-west-valley.html,https://www.mobileamericannotary.com/services/notary/hospital/west-hills-ucla-west-valley.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/westwood-ucla.html,https://www.mobileamericannotary.com/services/notary/hospital/westwood-ucla.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/woodland-hills-kaiser.html,https://www.mobileamericannotary.com/services/notary/hospital/woodland-hills-kaiser.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-jail/la-mens-central.html,https://www.mobileamericannotary.com/services/notary/jail/la-mens-central.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-jail/la-twin-towers.html,https://www.mobileamericannotary.com/services/notary/jail/la-twin-towers.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-jail/oc-theo-lacy.html,https://www.mobileamericannotary.com/services/notary/jail/oc-theo-lacy.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-jail/vn-main-jail.html,https://www.mobileamericannotary.com/services/notary/jail/vn-main-jail.html,301,true,false,false
https://www.mobileamericannotary.com/privacy-policy.html,https://www.mobileamericannotary.com/privacy.html,301,true,false,false
https://www.mobileamericannotary.com/pricing2.html,https://www.mobileamericannotary.com/pricing.html,301,true,false,false
https://www.mobileamericannotary.com/order-form/,https://apostille.mobileamericannotary.com/,301,true,false,false
https://www.mobileamericannotary.com/order-form/index.html,https://apostille.mobileamericannotary.com/,301,true,false,false
https://www.mobileamericannotary.com/order-form,https://apostille.mobileamericannotary.com/,301,true,false,false
https://www.mobileamericannotary.com/blog/,https://www.mobileamericannotary.com/,301,true,false,false
https://www.mobileamericannotary.com/blog,https://www.mobileamericannotary.com/,301,true,false,false
